date,strategy,total_option_pnl,total_hedge_pnl,total_pnl,trade_count,cum_pnl
2026-03-31,put_credit_spread,0.0,0.0,0.0,1,12069.778232
2026-04-01,put_credit_spread,0.0,0.0,0.0,1,12069.778232
2026-04-02,put_credit_spread,684.69025,0.0,684.69025,2,12754.468482
2026-04-06,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-07,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-08,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-09,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-10,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-13,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-14,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-15,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-16,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-17,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-20,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-21,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-22,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-23,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-24,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-27,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-28,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-29,put_credit_spread,0.0,0.0,0.0,1,12754.468482
2026-04-30,put_credit_spread,617.5,0.0,617.5,1,13371.968482
